ID,viewpoint,variation,direction,run,file_id
0,0,bg,0,0,000:00:0:0:bg
0,45,nm,1,0,000:45:1:0:nm
0,45,nm,1,1,000:45:1:1:nm
0,45,ph,1,0,000:45:1:0:ph
0,45,txt,1,0,000:45:1:0:txt
0,45,wsf,1,0,000:45:1:0:wsf
0,45,wss,1,0,000:45:1:0:wss
0,90,bg,0,0,000:90:0:0:bg
0,90,cl,0,0,000:90:0:0:cl
0,90,nm,0,0,000:90:0:0:nm
0,90,ph,0,0,000:90:0:0:ph
0,90,txt,0,0,000:90:0:0:txt
0,90,wsf,0,0,000:90:0:0:wsf
0,90,wss,0,0,000:90:0:0:wss
0,90,bg,1,0,000:90:1:0:bg
0,90,cl,1,0,000:90:1:0:cl
0,90,nm,1,0,000:90:1:0:nm
0,90,nm,1,1,000:90:1:1:nm
0,90,ph,1,0,000:90:1:0:ph
0,90,txt,1,0,000:90:1:0:txt
0,90,wsf,1,0,000:90:1:0:wsf
0,90,wss,1,0,000:90:1:0:wss
0,45,cl,1,0,000:45:1:0:cl
0,45,bg,1,0,000:45:1:0:bg
0,90,nm,0,1,000:90:0:1:nm
0,45,wsf,0,0,000:45:0:0:wsf
0,45,wss,0,0,000:45:0:0:wss
0,0,nm,0,0,000:00:0:0:nm
0,0,nm,0,1,000:00:0:1:nm
0,0,ph,0,0,000:00:0:0:ph
0,0,txt,0,0,000:00:0:0:txt
0,0,wsf,0,0,000:00:0:0:wsf
0,0,wss,0,0,000:00:0:0:wss
0,0,bg,1,0,000:00:1:0:bg
0,0,cl,1,0,000:00:1:0:cl
0,0,nm,1,0,000:00:1:0:nm
0,0,nm,1,1,000:00:1:1:nm
0,0,cl,0,0,000:00:0:0:cl
0,0,txt,1,0,000:00:1:0:txt
0,0,wsf,1,0,000:00:1:0:wsf
0,0,wss,1,0,000:00:1:0:wss
0,45,bg,0,0,000:45:0:0:bg
0,45,cl,0,0,000:45:0:0:cl
0,45,nm,0,0,000:45:0:0:nm
0,45,nm,0,1,000:45:0:1:nm
0,45,ph,0,0,000:45:0:0:ph
0,45,txt,0,0,000:45:0:0:txt
0,0,ph,1,0,000:00:1:0:ph
1,45,cl,1,0,001:45:1:0:cl
1,90,cl,0,0,001:90:0:0:cl
1,90,bg,0,0,001:90:0:0:bg
1,45,wss,1,0,001:45:1:0:wss
1,45,nm,1,0,001:45:1:0:nm
1,45,txt,1,0,001:45:1:0:txt
1,45,ph,1,0,001:45:1:0:ph
1,45,nm,1,1,001:45:1:1:nm
1,90,nm,0,0,001:90:0:0:nm
1,45,wsf,1,0,001:45:1:0:wsf
1,90,ph,0,0,001:90:0:0:ph
1,90,cl,1,0,001:90:1:0:cl
1,90,wsf,0,0,001:90:0:0:wsf
1,90,wss,0,0,001:90:0:0:wss
1,90,bg,1,0,001:90:1:0:bg
1,90,nm,1,0,001:90:1:0:nm
1,90,nm,1,1,001:90:1:1:nm
1,90,ph,1,0,001:90:1:0:ph
1,90,txt,1,0,001:90:1:0:txt
1,90,wsf,1,0,001:90:1:0:wsf
1,90,wss,1,0,001:90:1:0:wss
1,90,txt,0,0,001:90:0:0:txt
1,45,bg,1,0,001:45:1:0:bg
1,90,nm,0,1,001:90:0:1:nm
1,45,wsf,0,0,001:45:0:0:wsf
1,0,cl,0,0,001:00:0:0:cl
1,0,nm,0,0,001:00:0:0:nm
1,0,nm,0,1,001:00:0:1:nm
1,0,ph,0,0,001:00:0:0:ph
1,0,txt,0,0,001:00:0:0:txt
1,0,wsf,0,0,001:00:0:0:wsf
1,0,wss,0,0,001:00:0:0:wss
1,0,bg,1,0,001:00:1:0:bg
1,0,cl,1,0,001:00:1:0:cl
1,0,nm,1,0,001:00:1:0:nm
1,0,nm,1,1,001:00:1:1:nm
1,0,bg,0,0,001:00:0:0:bg
1,0,ph,1,0,001:00:1:0:ph
1,45,txt,0,0,001:45:0:0:txt
1,45,ph,0,0,001:45:0:0:ph
1,45,nm,0,1,001:45:0:1:nm
1,45,nm,0,0,001:45:0:0:nm
1,45,wss,0,0,001:45:0:0:wss
1,45,bg,0,0,001:45:0:0:bg
1,0,wss,1,0,001:00:1:0:wss
1,0,wsf,1,0,001:00:1:0:wsf
1,0,txt,1,0,001:00:1:0:txt
1,45,cl,0,0,001:45:0:0:cl
2,45,cl,1,0,002:45:1:0:cl
2,45,nm,1,0,002:45:1:0:nm
2,45,nm,1,1,002:45:1:1:nm
2,45,ph,1,0,002:45:1:0:ph
2,45,txt,1,0,002:45:1:0:txt
2,45,wsf,1,0,002:45:1:0:wsf
2,45,wss,1,0,002:45:1:0:wss
2,90,bg,0,0,002:90:0:0:bg
2,90,cl,0,0,002:90:0:0:cl
2,90,nm,0,0,002:90:0:0:nm
2,90,nm,0,1,002:90:0:1:nm
2,90,txt,0,0,002:90:0:0:txt
2,90,wsf,0,0,002:90:0:0:wsf
2,90,wss,0,0,002:90:0:0:wss
2,90,wss,1,0,002:90:1:0:wss
2,90,cl,1,0,002:90:1:0:cl
2,90,nm,1,0,002:90:1:0:nm
2,90,nm,1,1,002:90:1:1:nm
2,90,ph,1,0,002:90:1:0:ph
2,90,txt,1,0,002:90:1:0:txt
2,90,wsf,1,0,002:90:1:0:wsf
2,45,bg,1,0,002:45:1:0:bg
2,90,ph,0,0,002:90:0:0:ph
2,90,bg,1,0,002:90:1:0:bg
2,45,wss,0,0,002:45:0:0:wss
2,45,txt,0,0,002:45:0:0:txt
2,45,wsf,0,0,002:45:0:0:wsf
2,0,bg,0,0,002:00:0:0:bg
2,0,cl,0,0,002:00:0:0:cl
2,0,nm,0,0,002:00:0:0:nm
2,0,nm,0,1,002:00:0:1:nm
2,0,ph,0,0,002:00:0:0:ph
2,0,wsf,0,0,002:00:0:0:wsf
2,0,wss,0,0,002:00:0:0:wss
2,0,bg,1,0,002:00:1:0:bg
2,0,cl,1,0,002:00:1:0:cl
2,0,txt,0,0,002:00:0:0:txt
2,0,nm,1,1,002:00:1:1:nm
2,0,ph,1,0,002:00:1:0:ph
2,0,txt,1,0,002:00:1:0:txt
2,0,wsf,1,0,002:00:1:0:wsf
2,0,wss,1,0,002:00:1:0:wss
2,45,bg,0,0,002:45:0:0:bg
2,45,cl,0,0,002:45:0:0:cl
2,45,nm,0,0,002:45:0:0:nm
2,45,nm,0,1,002:45:0:1:nm
2,0,nm,1,0,002:00:1:0:nm
2,45,ph,0,0,002:45:0:0:ph
3,90,nm,0,0,003:90:0:0:nm
3,90,cl,0,0,003:90:0:0:cl
3,90,bg,0,0,003:90:0:0:bg
3,45,wss,1,0,003:45:1:0:wss
3,45,nm,1,0,003:45:1:0:nm
3,45,txt,1,0,003:45:1:0:txt
3,45,ph,1,0,003:45:1:0:ph
3,45,nm,1,1,003:45:1:1:nm
3,90,nm,0,1,003:90:0:1:nm
3,45,wsf,1,0,003:45:1:0:wsf
3,90,ph,0,0,003:90:0:0:ph
3,90,wss,1,0,003:90:1:0:wss
3,90,wsf,0,0,003:90:0:0:wsf
3,90,wss,0,0,003:90:0:0:wss
3,90,bg,1,0,003:90:1:0:bg
3,90,cl,1,0,003:90:1:0:cl
3,90,nm,1,0,003:90:1:0:nm
3,90,nm,1,1,003:90:1:1:nm
3,90,ph,1,0,003:90:1:0:ph
3,90,txt,1,0,003:90:1:0:txt
3,90,wsf,1,0,003:90:1:0:wsf
3,45,cl,1,0,003:45:1:0:cl
3,90,txt,0,0,003:90:0:0:txt
3,45,bg,1,0,003:45:1:0:bg
3,45,wss,0,0,003:45:0:0:wss
3,45,wsf,0,0,003:45:0:0:wsf
3,0,cl,0,0,003:00:0:0:cl
3,0,nm,0,0,003:00:0:0:nm
3,0,nm,0,1,003:00:0:1:nm
3,0,ph,0,0,003:00:0:0:ph
3,0,txt,0,0,003:00:0:0:txt
3,0,wsf,0,0,003:00:0:0:wsf
3,0,wss,0,0,003:00:0:0:wss
3,0,bg,1,0,003:00:1:0:bg
3,0,cl,1,0,003:00:1:0:cl
3,0,nm,1,0,003:00:1:0:nm
3,0,bg,0,0,003:00:0:0:bg
3,0,ph,1,0,003:00:1:0:ph
3,0,txt,1,0,003:00:1:0:txt
3,0,wsf,1,0,003:00:1:0:wsf
3,0,wss,1,0,003:00:1:0:wss
3,45,bg,0,0,003:45:0:0:bg
3,45,cl,0,0,003:45:0:0:cl
3,45,nm,0,0,003:45:0:0:nm
3,45,nm,0,1,003:45:0:1:nm
3,45,ph,0,0,003:45:0:0:ph
3,45,txt,0,0,003:45:0:0:txt
3,0,nm,1,1,003:00:1:1:nm
4,90,nm,0,0,004:90:0:0:nm
4,90,cl,0,0,004:90:0:0:cl
4,90,bg,0,0,004:90:0:0:bg
4,45,nm,1,1,004:45:1:1:nm
4,45,wsf,1,0,004:45:1:0:wsf
4,45,txt,1,0,004:45:1:0:txt
4,45,ph,1,0,004:45:1:0:ph
4,90,nm,0,1,004:90:0:1:nm
4,45,wss,1,0,004:45:1:0:wss
4,90,ph,0,0,004:90:0:0:ph
4,90,nm,1,0,004:90:1:0:nm
4,90,wsf,0,0,004:90:0:0:wsf
4,90,wss,0,0,004:90:0:0:wss
4,90,bg,1,0,004:90:1:0:bg
4,90,cl,1,0,004:90:1:0:cl
4,90,nm,1,1,004:90:1:1:nm
4,90,ph,1,0,004:90:1:0:ph
4,90,txt,1,0,004:90:1:0:txt
4,90,wsf,1,0,004:90:1:0:wsf
4,90,wss,1,0,004:90:1:0:wss
4,45,nm,1,0,004:45:1:0:nm
4,90,txt,0,0,004:90:0:0:txt
4,45,cl,1,0,004:45:1:0:cl
4,45,bg,1,0,004:45:1:0:bg
4,0,bg,0,0,004:00:0:0:bg
4,45,wss,0,0,004:45:0:0:wss
4,0,cl,0,0,004:00:0:0:cl
4,0,nm,0,0,004:00:0:0:nm
4,0,nm,0,1,004:00:0:1:nm
4,0,ph,0,0,004:00:0:0:ph
4,0,txt,0,0,004:00:0:0:txt
4,0,wss,0,0,004:00:0:0:wss
4,0,bg,1,0,004:00:1:0:bg
4,0,cl,1,0,004:00:1:0:cl
4,0,nm,1,0,004:00:1:0:nm
4,0,nm,1,1,004:00:1:1:nm
4,0,wsf,0,0,004:00:0:0:wsf
4,0,txt,1,0,004:00:1:0:txt
4,0,ph,1,0,004:00:1:0:ph
4,45,txt,0,0,004:45:0:0:txt
4,45,ph,0,0,004:45:0:0:ph
4,45,nm,0,1,004:45:0:1:nm
4,45,nm,0,0,004:45:0:0:nm
4,45,wsf,0,0,004:45:0:0:wsf
4,45,bg,0,0,004:45:0:0:bg
4,0,wss,1,0,004:00:1:0:wss
4,0,wsf,1,0,004:00:1:0:wsf
4,45,cl,0,0,004:45:0:0:cl
5,90,nm,0,1,005:90:0:1:nm
5,45,nm,1,0,005:45:1:0:nm
5,45,nm,1,1,005:45:1:1:nm
5,45,ph,1,0,005:45:1:0:ph
5,45,txt,1,0,005:45:1:0:txt
5,45,wsf,1,0,005:45:1:0:wsf
5,45,wss,1,0,005:45:1:0:wss
5,90,bg,0,0,005:90:0:0:bg
5,90,cl,0,0,005:90:0:0:cl
5,90,nm,0,0,005:90:0:0:nm
5,90,ph,0,0,005:90:0:0:ph
5,45,cl,1,0,005:45:1:0:cl
5,90,wsf,0,0,005:90:0:0:wsf
5,90,wss,0,0,005:90:0:0:wss
5,90,bg,1,0,005:90:1:0:bg
5,90,cl,1,0,005:90:1:0:cl
5,90,nm,1,0,005:90:1:0:nm
5,90,nm,1,1,005:90:1:1:nm
5,90,ph,1,0,005:90:1:0:ph
5,90,txt,1,0,005:90:1:0:txt
5,90,wsf,1,0,005:90:1:0:wsf
5,90,wss,1,0,005:90:1:0:wss
5,90,txt,0,0,005:90:0:0:txt
5,45,bg,1,0,005:45:1:0:bg
5,0,nm,1,1,005:00:1:1:nm
5,45,wsf,0,0,005:45:0:0:wsf
5,45,wss,0,0,005:45:0:0:wss
5,0,cl,0,0,005:00:0:0:cl
5,0,nm,0,0,005:00:0:0:nm
5,0,nm,0,1,005:00:0:1:nm
5,0,ph,0,0,005:00:0:0:ph
5,0,txt,0,0,005:00:0:0:txt
5,0,wsf,0,0,005:00:0:0:wsf
5,0,wss,0,0,005:00:0:0:wss
5,0,bg,1,0,005:00:1:0:bg
5,0,cl,1,0,005:00:1:0:cl
5,0,nm,1,0,005:00:1:0:nm
5,0,bg,0,0,005:00:0:0:bg
5,0,ph,1,0,005:00:1:0:ph
5,0,txt,1,0,005:00:1:0:txt
5,0,wsf,1,0,005:00:1:0:wsf
5,0,wss,1,0,005:00:1:0:wss
5,45,bg,0,0,005:45:0:0:bg
5,45,cl,0,0,005:45:0:0:cl
5,45,nm,0,0,005:45:0:0:nm
5,45,nm,0,1,005:45:0:1:nm
5,45,ph,0,0,005:45:0:0:ph
5,45,txt,0,0,005:45:0:0:txt
6,90,bg,0,0,006:90:0:0:bg
6,45,wss,1,0,006:45:1:0:wss
6,45,wsf,1,0,006:45:1:0:wsf
6,45,cl,1,0,006:45:1:0:cl
6,45,ph,1,0,006:45:1:0:ph
6,45,nm,1,1,006:45:1:1:nm
6,45,nm,1,0,006:45:1:0:nm
6,45,txt,1,0,006:45:1:0:txt
6,90,cl,0,0,006:90:0:0:cl
6,90,wsf,0,0,006:90:0:0:wsf
6,90,nm,0,1,006:90:0:1:nm
6,90,ph,0,0,006:90:0:0:ph
6,90,txt,0,0,006:90:0:0:txt
6,90,ph,1,0,006:90:1:0:ph
6,90,wss,0,0,006:90:0:0:wss
6,90,bg,1,0,006:90:1:0:bg
6,90,cl,1,0,006:90:1:0:cl
6,90,nm,1,0,006:90:1:0:nm
6,90,nm,1,1,006:90:1:1:nm
6,45,bg,1,0,006:45:1:0:bg
6,90,nm,0,0,006:90:0:0:nm
6,45,wss,0,0,006:45:0:0:wss
6,0,nm,1,1,006:00:1:1:nm
6,45,txt,0,0,006:45:0:0:txt
6,90,txt,1,0,006:90:1:0:txt
6,0,bg,0,0,006:00:0:0:bg
6,0,cl,0,0,006:00:0:0:cl
6,0,nm,0,0,006:00:0:0:nm
6,0,nm,0,1,006:00:0:1:nm
6,0,ph,0,0,006:00:0:0:ph
6,0,txt,0,0,006:00:0:0:txt
6,0,wsf,0,0,006:00:0:0:wsf
6,0,wss,0,0,006:00:0:0:wss
6,0,bg,1,0,006:00:1:0:bg
6,0,cl,1,0,006:00:1:0:cl
6,0,nm,1,0,006:00:1:0:nm
6,0,ph,1,0,006:00:1:0:ph
6,0,txt,1,0,006:00:1:0:txt
6,0,wsf,1,0,006:00:1:0:wsf
6,0,wss,1,0,006:00:1:0:wss
6,45,bg,0,0,006:45:0:0:bg
6,45,cl,0,0,006:45:0:0:cl
6,45,nm,0,0,006:45:0:0:nm
6,45,nm,0,1,006:45:0:1:nm
6,45,ph,0,0,006:45:0:0:ph
6,45,wsf,0,0,006:45:0:0:wsf
6,90,wss,1,0,006:90:1:0:wss
6,90,wsf,1,0,006:90:1:0:wsf
7,90,wss,1,0,007:90:1:0:wss
7,45,ph,0,0,007:45:0:0:ph
7,45,nm,0,1,007:45:0:1:nm
7,45,nm,0,0,007:45:0:0:nm
7,45,cl,0,0,007:45:0:0:cl
7,45,bg,0,0,007:45:0:0:bg
7,0,wss,1,0,007:00:1:0:wss
7,0,wsf,1,0,007:00:1:0:wsf
7,0,txt,1,0,007:00:1:0:txt
7,0,ph,1,0,007:00:1:0:ph
7,0,nm,1,1,007:00:1:1:nm
7,0,nm,1,0,007:00:1:0:nm
7,0,cl,1,0,007:00:1:0:cl
7,0,bg,1,0,007:00:1:0:bg
7,0,wss,0,0,007:00:0:0:wss
7,0,wsf,0,0,007:00:0:0:wsf
7,0,txt,0,0,007:00:0:0:txt
7,0,ph,0,0,007:00:0:0:ph
7,0,nm,0,1,007:00:0:1:nm
7,0,nm,0,0,007:00:0:0:nm
7,0,cl,0,0,007:00:0:0:cl
7,0,bg,0,0,007:00:0:0:bg
7,45,txt,0,0,007:45:0:0:txt
7,45,wsf,0,0,007:45:0:0:wsf
7,90,wsf,1,0,007:90:1:0:wsf
7,45,bg,1,0,007:45:1:0:bg
7,90,txt,1,0,007:90:1:0:txt
7,90,ph,1,0,007:90:1:0:ph
7,90,nm,1,1,007:90:1:1:nm
7,90,nm,1,0,007:90:1:0:nm
7,90,cl,1,0,007:90:1:0:cl
7,90,bg,1,0,007:90:1:0:bg
7,90,wss,0,0,007:90:0:0:wss
7,90,wsf,0,0,007:90:0:0:wsf
7,90,txt,0,0,007:90:0:0:txt
7,90,ph,0,0,007:90:0:0:ph
7,45,wss,0,0,007:45:0:0:wss
7,90,nm,0,0,007:90:0:0:nm
7,90,cl,0,0,007:90:0:0:cl
7,90,bg,0,0,007:90:0:0:bg
7,45,wss,1,0,007:45:1:0:wss
7,45,wsf,1,0,007:45:1:0:wsf
7,45,txt,1,0,007:45:1:0:txt
7,45,ph,1,0,007:45:1:0:ph
7,45,nm,1,1,007:45:1:1:nm
7,45,nm,1,0,007:45:1:0:nm
7,45,cl,1,0,007:45:1:0:cl
7,90,nm,0,1,007:90:0:1:nm
8,90,cl,0,0,008:90:0:0:cl
8,90,bg,0,0,008:90:0:0:bg
8,45,wss,1,0,008:45:1:0:wss
8,45,nm,1,0,008:45:1:0:nm
8,45,txt,1,0,008:45:1:0:txt
8,45,ph,1,0,008:45:1:0:ph
8,45,nm,1,1,008:45:1:1:nm
8,90,nm,0,0,008:90:0:0:nm
8,45,wsf,1,0,008:45:1:0:wsf
8,90,nm,0,1,008:90:0:1:nm
8,90,bg,1,0,008:90:1:0:bg
8,90,txt,0,0,008:90:0:0:txt
8,90,wsf,0,0,008:90:0:0:wsf
8,90,wss,0,0,008:90:0:0:wss
8,90,cl,1,0,008:90:1:0:cl
8,90,nm,1,0,008:90:1:0:nm
8,90,nm,1,1,008:90:1:1:nm
8,90,ph,1,0,008:90:1:0:ph
8,90,txt,1,0,008:90:1:0:txt
8,45,cl,1,0,008:45:1:0:cl
8,90,ph,0,0,008:90:0:0:ph
8,45,bg,1,0,008:45:1:0:bg
8,0,ph,1,0,008:00:1:0:ph
8,45,wsf,0,0,008:45:0:0:wsf
8,0,bg,0,0,008:00:0:0:bg
8,0,cl,0,0,008:00:0:0:cl
8,0,nm,0,0,008:00:0:0:nm
8,0,nm,0,1,008:00:0:1:nm
8,0,ph,0,0,008:00:0:0:ph
8,0,txt,0,0,008:00:0:0:txt
8,0,wsf,0,0,008:00:0:0:wsf
8,0,wss,0,0,008:00:0:0:wss
8,0,bg,1,0,008:00:1:0:bg
8,0,cl,1,0,008:00:1:0:cl
8,0,nm,1,0,008:00:1:0:nm
8,90,wsf,1,0,008:90:1:0:wsf
8,0,txt,1,0,008:00:1:0:txt
8,0,wsf,1,0,008:00:1:0:wsf
8,0,wss,1,0,008:00:1:0:wss
8,45,bg,0,0,008:45:0:0:bg
8,45,cl,0,0,008:45:0:0:cl
8,45,nm,0,0,008:45:0:0:nm
8,45,nm,0,1,008:45:0:1:nm
8,45,ph,0,0,008:45:0:0:ph
8,45,txt,0,0,008:45:0:0:txt
8,45,wss,0,0,008:45:0:0:wss
8,90,wss,1,0,008:90:1:0:wss
8,0,nm,1,1,008:00:1:1:nm
9,45,wss,0,0,009:45:0:0:wss
9,45,ph,0,0,009:45:0:0:ph
9,45,nm,0,1,009:45:0:1:nm
9,45,nm,0,0,009:45:0:0:nm
9,45,cl,0,0,009:45:0:0:cl
9,45,bg,0,0,009:45:0:0:bg
9,0,wss,1,0,009:00:1:0:wss
9,0,wsf,1,0,009:00:1:0:wsf
9,0,txt,1,0,009:00:1:0:txt
9,0,ph,1,0,009:00:1:0:ph
9,0,nm,1,1,009:00:1:1:nm
9,0,nm,1,0,009:00:1:0:nm
9,0,cl,1,0,009:00:1:0:cl
9,0,bg,1,0,009:00:1:0:bg
9,0,wss,0,0,009:00:0:0:wss
9,0,wsf,0,0,009:00:0:0:wsf
9,0,txt,0,0,009:00:0:0:txt
9,0,ph,0,0,009:00:0:0:ph
9,0,nm,0,1,009:00:0:1:nm
9,0,nm,0,0,009:00:0:0:nm
9,45,txt,0,0,009:45:0:0:txt
9,45,wsf,0,0,009:45:0:0:wsf
9,45,bg,1,0,009:45:1:0:bg
9,45,cl,1,0,009:45:1:0:cl
9,90,txt,1,0,009:90:1:0:txt
9,90,ph,1,0,009:90:1:0:ph
9,90,nm,1,1,009:90:1:1:nm
9,90,nm,1,0,009:90:1:0:nm
9,90,cl,1,0,009:90:1:0:cl
9,90,bg,1,0,009:90:1:0:bg
9,90,wss,0,0,009:90:0:0:wss
9,90,wsf,0,0,009:90:0:0:wsf
9,90,txt,0,0,009:90:0:0:txt
9,0,cl,0,0,009:00:0:0:cl
9,90,ph,0,0,009:90:0:0:ph
9,90,nm,0,0,009:90:0:0:nm
9,90,cl,0,0,009:90:0:0:cl
9,90,bg,0,0,009:90:0:0:bg
9,45,wss,1,0,009:45:1:0:wss
9,45,wsf,1,0,009:45:1:0:wsf
9,45,txt,1,0,009:45:1:0:txt
9,45,ph,1,0,009:45:1:0:ph
9,45,nm,1,1,009:45:1:1:nm
9,45,nm,1,0,009:45:1:0:nm
9,90,nm,0,1,009:90:0:1:nm
9,0,bg,0,0,009:00:0:0:bg
9,90,wss,1,0,009:90:1:0:wss
9,90,wsf,1,0,009:90:1:0:wsf
10,0,nm,0,0,010:00:0:0:nm
10,45,nm,1,1,010:45:1:1:nm
10,45,ph,1,0,010:45:1:0:ph
10,45,txt,1,0,010:45:1:0:txt
10,45,wsf,1,0,010:45:1:0:wsf
10,45,wss,1,0,010:45:1:0:wss
10,90,bg,0,0,010:90:0:0:bg
10,90,cl,0,0,010:90:0:0:cl
10,90,nm,0,0,010:90:0:0:nm
10,90,nm,0,1,010:90:0:1:nm
10,90,ph,0,0,010:90:0:0:ph
10,90,txt,0,0,010:90:0:0:txt
10,90,wsf,0,0,010:90:0:0:wsf
10,90,wss,0,0,010:90:0:0:wss
10,90,bg,1,0,010:90:1:0:bg
10,90,cl,1,0,010:90:1:0:cl
10,90,nm,1,0,010:90:1:0:nm
10,90,nm,1,1,010:90:1:1:nm
10,90,ph,1,0,010:90:1:0:ph
10,90,txt,1,0,010:90:1:0:txt
10,0,cl,0,0,010:00:0:0:cl
10,0,bg,0,0,010:00:0:0:bg
10,45,nm,1,0,010:45:1:0:nm
10,45,cl,1,0,010:45:1:0:cl
10,90,wsf,1,0,010:90:1:0:wsf
10,90,wss,1,0,010:90:1:0:wss
10,45,bg,1,0,010:45:1:0:bg
10,0,nm,0,1,010:00:0:1:nm
10,0,txt,0,0,010:00:0:0:txt
10,0,wsf,0,0,010:00:0:0:wsf
10,0,wss,0,0,010:00:0:0:wss
10,0,bg,1,0,010:00:1:0:bg
10,0,cl,1,0,010:00:1:0:cl
10,0,nm,1,0,010:00:1:0:nm
10,0,nm,1,1,010:00:1:1:nm
10,0,ph,1,0,010:00:1:0:ph
10,0,ph,0,0,010:00:0:0:ph
10,0,wsf,1,0,010:00:1:0:wsf
10,45,wss,0,0,010:45:0:0:wss
10,0,txt,1,0,010:00:1:0:txt
10,45,txt,0,0,010:45:0:0:txt
10,45,ph,0,0,010:45:0:0:ph
10,45,wsf,0,0,010:45:0:0:wsf
10,45,nm,0,0,010:45:0:0:nm
10,45,cl,0,0,010:45:0:0:cl
